Data(UTC) Time(UTC) Latitude Longitude
05-Feb-2008 04:20:52 114.19585 32.12829
05-Feb-2008 19:31:02 117.21966 40.15021
05-Feb-2008 19:31:06 117.21966 40.15021
05-Feb-2008 19:31:10 117.21966 40.15022
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
05-Feb-2008 19:32:52 117.22124 40.15029
